 ,Area,XM,YM
1,185,576.206,601.133
2,190,575.644,601.068
3,194,574.079,600.331
4,186,574.854,600.374
5,180,575.984,599.672
6,189,576.026,599.433
7,190,578.958,599.267
8,192,578.573,598.116
9,206,577.919,597.918
10,200,577.387,599.701
11,189,578.315,598.741
12,197,579.027,596.991
13,203,578.529,593.479
14,199,579.436,594.737
15,183,578.464,595.903
16,181,577.078,596.605
17,194,575.401,599.058
18,183,574.994,600.881
19,193,576.480,601.581
20,195,575.423,600.600
21,188,575.554,599.840
22,186,574.521,601.663
23,176,574.087,603.105
24,177,574.629,603.562
25,177,576.688,603.524
26,194,575.856,602.417
27,184,574.281,602.845
28,183,574.561,603.242
29,178,575.690,603.614
30,184,577.902,604.043
31,184,576.543,603.697
32,189,575.803,603.221
33,200,573.354,601.607
34,199,573.004,599.829
35,203,572.379,599.876
36,200,573.078,599.864
37,206,574.235,598.766
38,206,575.052,597.475
39,206,574.863,597.690
40,208,575.027,598.020
41,210,573.437,600.012
42,210,575.136,598.363
43,202,575.715,597.935
44,212,576.399,598.667
45,218,576.741,600.193
46,215,576.116,597.518
47,209,576.047,595.010
48,208,576.765,595.397
49,213,580.017,595.271
50,215,581.590,594.582
51,215,580.209,595.403
52,219,582.647,598.662
53,216,581.395,599.414
54,212,580.061,598.555
55,208,581.526,597.795
56,213,582.199,596.969
57,209,581.842,595.486
58,214,583.023,596.430
59,211,584.317,596.219
60,220,587.600,595.233
61,213,587.705,594.009
62,213,588.427,591.620
63,211,587.658,590.722
64,212,586.462,591.236
65,214,586.724,592.167
66,215,587.325,592.428
67,216,585.644,591.097
68,213,584.215,592.981
69,208,581.701,592.738
70,206,579.982,591.409
71,208,578.443,592.108
72,196,577.784,594.256
73,207,577.672,593.414
74,210,578.429,592.128
75,205,577.045,590.243
76,214,577.828,589.175
77,217,578.804,591.541
78,210,576.879,590.901
79,197,576.881,589.794
80,200,577.598,587.895
81,205,578.127,587.069
82,208,576.320,586.950
83,200,577.467,586.609
84,212,575.550,587.028
85,203,574.679,587.457
86,212,576.361,586.029
87,211,576.926,585.148
88,218,579.341,583.137
89,212,580.417,581.917
90,216,580.724,582.277
91,215,580.488,584.447
92,213,581.732,583.294
93,207,583.412,578.861
94,212,580.973,578.508
95,207,578.978,577.660
96,216,577.938,578.457
97,207,577.649,578.544
98,206,576.277,578.828
99,205,575.235,581.776
100,200,575.362,581.032
101,210,577.820,582.081
102,213,579.146,583.697
103,219,580.389,583.178
104,225,580.191,583.656
105,215,580.161,583.685
106,216,579.394,585.082
107,225,578.850,586.919
108,213,577.021,590.528
109,216,576.024,591.008
110,215,577.146,592.406
111,218,576.171,591.096
112,212,574.939,588.238
113,217,575.413,589.396
114,207,574.569,590.714
115,217,576.690,589.300
116,210,575.739,592.464
117,208,577.544,592.725
118,215,576.264,592.082
119,210,576.554,593.890
120,206,577.774,595.188
121,207,576.522,594.619
122,218,575.726,593.783
123,206,575.601,592.671
124,207,574.305,592.459
125,223,575.670,594.707
126,204,576.345,596.887
127,206,576.017,596.403
128,216,575.288,595.808
129,205,574.648,591.790
130,210,573.248,591.408
131,206,573.471,590.782
132,205,573.451,589.801
133,205,575.901,587.793
134,201,577.392,588.348
135,203,576.584,587.015
136,195,576.050,584.526
137,198,574.208,583.435
138,191,573.245,582.752
139,195,573.656,581.827
