 ,Area,XM,YM
1,325,861.027,517.132
2,338,861.893,517.926
3,333,861.038,520.186
4,330,861.000,520.356
5,349,864.050,521.089
6,353,864.946,519.917
7,343,865.355,521.925
8,332,863.999,522.651
9,337,862.320,525.770
10,334,864.646,527.155
11,335,866.453,529.264
12,334,865.246,531.131
13,319,863.257,532.229
14,331,864.829,533.740
15,318,863.961,533.553
16,314,862.493,533.237
17,315,861.024,535.439
18,317,859.501,538.120
19,318,859.883,538.559
20,329,862.168,540.447
21,319,861.122,540.739
22,316,862.347,540.169
23,316,862.556,539.652
24,313,863.696,538.129
25,318,867.012,537.487
26,325,868.530,537.712
27,314,867.706,538.456
28,317,866.964,539.795
29,321,866.762,541.777
30,318,864.937,542.697
31,313,864.485,544.036
32,328,864.518,546.192
33,353,862.772,545.844
34,360,863.613,541.705
35,357,864.881,538.932
36,367,866.923,541.826
37,363,866.483,543.090
38,345,866.174,541.114
39,340,865.796,541.684
40,325,865.776,540.940
41,316,866.285,541.114
42,329,864.552,540.782
43,319,865.440,537.865
44,325,866.656,536.598
45,323,866.393,535.939
46,340,867.847,535.610
47,374,866.705,540.078
48,358,866.929,543.292
49,348,867.290,544.064
50,358,865.083,541.958
51,357,862.539,539.803
52,347,861.816,537.214
53,348,863.918,537.860
54,351,865.446,538.715
55,358,866.725,537.454
56,379,867.414,538.916
57,379,868.198,539.523
58,404,868.907,539.025
59,416,870.257,538.173
60,458,870.611,536.368
61,451,869.014,534.077
62,426,868.626,535.031
63,424,870.454,536.146
64,426,871.912,535.570
65,429,871.256,536.391
66,443,871.986,537.903
67,436,872.076,540.165
68,445,873.376,541.313
69,451,876.034,538.890
70,435,878.027,540.459
71,428,879.341,538.463
72,437,878.256,534.466
73,423,876.546,533.820
74,435,877.762,536.570
75,415,879.687,539.293
76,395,883.070,538.678
77,388,882.014,540.792
78,390,879.845,539.811
79,406,877.564,539.768
80,413,877.273,539.910
81,399,876.924,540.550
82,420,877.527,536.040
83,436,877.783,533.679
84,449,878.330,534.075
85,422,878.519,536.802
86,372,877.042,536.458
87,341,875.214,535.564
88,304,876.470,534.831
89,308,874.707,536.895
90,306,872.723,536.523
91,304,873.226,533.254
92,298,873.082,530.844
93,303,870.998,533.107
94,292,870.811,534.139
95,300,871.692,533.651
96,303,870.311,533.020
97,301,870.735,532.403
98,294,870.269,528.125
99,288,870.323,528.202
100,289,871.330,527.612
101,304,870.810,528.734
102,296,869.760,530.085
103,295,871.736,529.551
104,291,873.391,531.589
105,298,873.226,531.998
106,294,871.839,532.783
107,296,871.933,532.945
108,294,872.552,534.183
109,295,872.730,532.079
110,286,874.347,530.461
111,284,874.018,532.563
112,295,873.004,535.915
113,285,873.201,536.627
114,283,872.421,539.163
115,288,873.252,539.488
116,283,873.083,537.709
117,286,875.884,537.123
118,278,877.688,535.309
119,280,879.046,534.809
120,278,881.104,535.396
121,292,879.725,535.708
122,287,878.443,534.722
123,282,879.931,534.959
124,281,881.513,534.332
125,285,883.144,535.485
126,289,884.548,534.908
127,284,883.278,534.129
128,283,881.938,534.206
129,285,879.998,534.838
130,279,879.349,538.481
131,279,879.514,539.912
132,280,878.519,538.188
133,288,879.160,538.714
134,282,880.293,537.483
135,283,879.076,535.294
136,284,878.764,537.715
137,291,876.731,537.671
138,278,875.479,536.744
139,284,875.556,537.113
140,279,875.175,537.232
141,284,874.476,536.861
142,281,875.313,538.338
143,286,874.996,536.849
144,285,875.106,536.355
145,282,877.541,536.991
146,284,877.296,537.820
147,279,875.012,538.649
148,268,874.950,539.380
149,271,876.677,539.891
150,278,878.559,539.292
151,281,877.555,536.941
152,285,876.713,534.517
153,280,879.911,533.725
154,279,880.919,535.147
155,283,879.897,535.524
156,292,878.864,535.641
157,281,877.323,534.304
158,286,878.538,534.400
159,282,877.665,533.411
160,282,876.188,531.900
161,288,876.372,532.649
162,289,877.882,533.087
163,299,880.242,532.633
164,285,881.283,533.593
165,286,880.857,533.186
166,285,882.001,533.135
167,290,883.659,533.330
168,283,886.351,531.711
169,287,884.503,529.135
170,288,886.427,531.680
171,291,886.114,530.283
172,288,884.208,528.654
173,290,882.739,530.561
174,290,881.452,533.700
175,299,883.032,535.762
176,290,884.551,535.762
177,286,885.803,535.648
178,281,885.742,532.740
179,295,886.797,532.369
180,292,886.961,531.746
181,297,886.751,531.819
182,296,888.674,532.204
183,279,888.484,533.269
184,280,888.138,535.667
185,284,887.631,536.038
186,278,887.391,536.013
187,277,888.110,535.263
188,284,885.278,535.705
189,273,881.066,537.049
190,275,880.032,540.071
191,278,879.871,538.211
192,278,880.984,538.416
193,279,881.889,540.691
194,279,880.505,541.125
195,278,880.982,541.803
196,275,882.310,541.355
197,275,883.097,542.316
198,274,883.571,543.098
199,276,885.341,545.019
200,286,883.601,542.611
201,282,883.057,543.870
202,278,882.313,545.431
203,280,883.564,543.916
204,282,884.492,544.773
205,281,884.766,545.348
206,264,885.390,544.465
207,262,882.595,543.789
208,268,882.178,540.627
209,262,881.169,540.517
210,260,881.047,538.825
211,244,882.097,539.657
212,252,881.856,537.327
213,252,883.270,536.030
214,252,882.638,537.165
215,258,882.679,537.557
216,242,883.900,537.780
217,259,882.956,538.754
218,256,882.026,537.170
219,257,884.256,537.523
220,246,886.349,534.703
221,242,885.801,533.616
222,236,889.108,533.501
223,233,889.321,533.460
224,240,887.854,533.415
225,241,888.095,533.236
226,244,889.264,532.103
227,260,893.982,531.036
228,263,893.997,528.491
229,255,890.453,527.449
230,262,887.327,528.208
231,249,884.782,531.181
232,245,885.873,532.650
233,241,886.345,531.923
234,250,884.795,530.485
235,237,884.471,530.533
236,240,882.183,529.271
237,239,882.172,529.110
238,251,880.658,531.499
239,257,879.712,531.260
240,264,878.060,528.473
241,260,874.083,527.814
242,257,871.653,524.872
243,254,871.819,522.686
244,257,871.778,522.649
245,259,870.657,523.558
246,262,869.562,522.504
247,263,870.459,522.631
248,251,870.621,520.211
249,246,868.442,519.918
250,252,868.050,521.112
251,248,868.580,523.625
252,238,869.868,521.842
253,241,870.407,520.829
254,230,871.602,520.989
255,232,872.674,520.746
256,237,871.973,521.597
257,237,871.675,521.900
258,247,872.682,522.190
259,244,875.927,523.942
260,245,877.743,524.747
261,238,879.382,523.208
262,250,880.169,522.683
263,243,882.201,522.665
264,243,884.120,524.128
265,240,886.480,522.962
266,263,883.445,522.589
267,252,879.077,520.173
268,258,878.283,518.027
269,253,877.298,517.811
270,247,878.533,517.593
271,246,878.697,518.496
272,264,878.179,518.424
273,276,879.738,517.124
274,283,880.974,517.564
275,284,882.472,518.734
276,292,880.837,516.650
277,287,879.805,517.032
278,291,876.963,514.684
279,287,878.266,514.166
280,291,878.901,514.122
281,279,883.178,515.397
282,285,884.087,516.903
283,279,884.241,516.894
284,282,885.528,516.641
285,284,887.440,516.769
286,280,888.492,515.858
287,279,887.150,517.364
288,284,886.848,518.747
289,267,887.997,519.290
290,272,888.281,519.858
291,263,887.991,519.062
292,256,891.376,520.208
293,246,892.302,519.318
294,246,891.101,518.596
295,257,891.123,517.889
296,243,891.371,517.607
297,244,891.822,517.387
298,236,894.343,516.289
299,238,895.688,517.632
300,232,895.851,515.013
301,235,895.371,515.531
302,241,893.582,515.176
303,243,894.034,510.877
304,230,894.663,511.731
305,228,895.369,512.658
306,242,897.137,514.674
307,244,899.475,515.643
308,234,899.446,515.211
309,245,897.328,513.782
310,235,897.166,512.492
311,237,898.223,512.571
312,239,898.674,511.268
313,225,898.686,511.744
314,244,895.662,510.875
315,233,895.029,511.771
316,232,894.274,513.481
317,238,892.791,512.374
318,234,892.112,512.766
319,233,892.253,513.523
320,246,894.053,514.372
321,231,895.137,514.806
322,243,894.950,515.672
323,236,893.872,513.905
324,237,895.181,515.212
325,233,895.085,516.640
326,224,896.608,515.990
327,238,896.337,515.238
328,227,895.502,514.984
329,233,893.451,514.369
330,242,893.838,516.119
331,238,893.574,515.060
332,239,892.543,514.693
333,232,891.957,516.899
334,236,891.671,518.140
335,238,892.317,518.429
336,232,890.980,517.047
337,227,888.787,517.922
338,240,886.820,516.481
339,232,886.485,515.145
340,230,887.371,514.654
341,224,889.565,513.896
342,228,889.144,512.623
343,241,892.283,511.107
344,242,890.440,512.624
345,243,890.151,513.810
346,248,890.496,514.380
347,243,891.192,512.453
348,234,894.432,509.841
349,241,895.294,508.273
350,252,895.686,508.159
351,252,894.913,510.758
352,238,894.014,513.026
353,241,892.994,513.394
354,232,894.354,511.973
355,240,895.454,510.232
356,241,896.383,509.042
357,237,894.766,508.940
358,239,896.713,508.893
359,239,899.585,509.383
360,235,900.970,511.255
361,239,903.182,512.282
362,239,903.161,510.274
363,234,905.412,509.618
364,239,905.128,508.351
365,235,902.668,508.685
366,236,903.034,510.066
367,244,900.213,510.432
368,263,898.455,510.934
369,255,894.425,509.516
370,275,891.291,510.349
371,273,892.002,507.881
372,269,891.214,509.079
373,266,894.262,511.417
374,268,893.694,510.618
375,251,891.311,511.081
376,271,890.829,514.888
377,264,889.576,516.087
378,267,889.283,516.571
379,268,887.515,517.195
380,271,885.464,516.670
381,283,883.855,517.168
382,276,881.541,517.875
383,277,880.771,517.300
384,274,882.316,517.805
385,275,882.528,519.123
386,288,882.240,520.964
387,263,883.380,520.695
388,265,882.416,521.352
389,261,882.522,523.415
390,268,883.761,523.677
391,255,883.562,524.488
392,267,882.214,524.089
393,244,881.397,523.518
394,256,883.156,522.901
395,251,883.643,525.705
396,250,883.781,527.034
397,233,883.777,526.651
398,233,883.739,526.240
399,237,883.412,525.305
400,238,882.692,523.160
401,229,881.758,523.044
402,238,882.106,524.659
403,255,883.035,527.782
404,243,883.066,531.219
405,243,885.778,530.564
406,245,886.786,531.516
407,240,888.854,530.498
408,234,890.312,530.896
409,232,889.587,530.817
410,229,889.142,530.867
411,236,888.731,531.648
412,236,889.079,534.141
413,244,890.812,534.357
414,221,891.411,536.063
415,222,890.523,536.779
416,230,892.400,536.440
417,233,892.652,535.996
418,232,892.972,538.024
419,235,892.618,538.222
420,237,891.081,539.599
421,233,889.837,540.642
422,239,891.209,540.642
423,237,891.955,540.399
424,230,894.107,541.351
425,224,894.036,541.493
426,230,891.369,542.494
427,223,889.600,542.880
428,236,886.310,540.399
429,227,886.409,539.602
430,224,885.207,540.866
431,229,883.816,541.831
432,235,885.371,541.876
433,223,885.501,540.881
434,224,886.083,540.079
435,226,885.849,538.674
436,223,885.904,540.052
437,233,887.969,540.772
438,233,888.192,539.641
439,229,888.069,540.012
440,235,888.183,539.023
441,238,888.759,539.395
442,238,886.933,539.965
443,236,884.556,540.823
444,240,886.628,539.323
445,239,887.660,540.447
446,228,886.713,540.345
447,233,887.870,541.340
448,233,885.743,543.315
449,237,888.096,545.762
450,240,889.044,545.940
451,226,890.190,545.721
452,239,890.283,546.532
453,238,889.941,547.858
454,235,890.448,549.534
455,246,892.980,550.601
456,236,893.323,549.667
457,239,893.169,550.157
458,224,893.481,547.771
459,227,892.425,547.168
460,226,893.096,546.709
461,225,893.594,546.428
462,231,892.732,544.477
463,227,890.060,542.510
464,228,888.978,542.312
465,224,888.540,544.259
466,228,889.039,541.754
467,232,890.601,541.293
468,237,889.552,538.760
469,235,889.471,540.024
470,238,888.509,541.244
471,238,888.986,541.962
472,235,888.156,540.277
473,250,887.023,539.049
474,245,886.487,539.825
475,252,884.702,540.592
476,255,885.505,540.573
477,249,885.206,541.637
478,261,883.455,541.289
479,257,884.193,542.099
480,252,884.699,544.546
481,251,885.340,545.266
482,241,886.197,544.694
483,242,884.511,546.204
