 ,Area,XM,YM
1,285,481.261,530.194
2,277,480.586,530.397
3,289,481.157,530.233
4,296,480.832,530.379
5,298,479.920,530.936
6,292,481.186,531.350
7,264,483.708,532.079
8,293,485.120,531.493
9,290,486.970,531.521
10,294,489.487,531.493
11,300,489.366,531.988
12,287,488.613,533.289
13,304,489.350,531.591
14,309,489.370,531.585
15,314,489.810,531.724
16,314,487.906,534.317
17,322,485.623,535.880
18,306,486.605,537.018
19,293,489.523,538.489
20,289,490.487,538.683
21,303,490.406,539.854
22,285,490.542,539.028
23,286,492.141,536.823
24,286,492.622,536.928
25,283,494.341,536.116
26,301,492.782,537.778
27,301,492.766,540.562
28,294,493.166,541.662
29,291,490.454,542.976
30,292,488.925,541.501
31,286,487.038,540.838
32,295,486.992,540.167
33,286,488.678,540.003
34,303,490.164,539.651
35,295,491.188,537.680
36,274,492.675,535.636
37,284,493.322,534.892
38,273,490.422,535.874
39,277,488.499,537.625
40,266,486.440,537.946
41,237,485.567,537.887
42,205,484.215,538.691
43,193,484.410,536.528
44,204,484.624,534.411
45,198,484.843,536.921
46,208,484.338,540.307
47,209,483.813,539.402
48,195,481.304,540.075
49,209,482.186,539.277
50,200,482.701,539.079
51,204,482.498,539.907
52,192,481.372,540.392
53,192,481.573,540.974
54,188,479.140,542.271
55,225,476.303,540.173
56,212,477.359,536.748
57,191,477.594,532.718
58,192,476.532,530.100
59,196,477.525,530.998
60,213,476.289,532.519
61,200,475.002,532.496
62,192,474.090,532.798
63,199,474.406,532.846
64,209,476.583,530.079
65,187,477.468,527.783
66,202,478.307,529.046
67,199,478.832,531.279
68,186,479.801,531.326
69,198,480.543,530.539
70,198,481.462,531.089
71,191,482.340,529.629
72,208,479.771,532.351
73,197,477.304,532.653
74,189,478.225,532.315
75,210,477.239,530.689
76,194,477.058,528.072
77,193,476.542,528.204
78,210,477.243,528.643
79,199,476.502,528.738
80,205,474.437,529.952
81,198,472.158,529.171
82,201,471.697,527.754
83,213,470.371,528.170
84,207,466.692,528.775
85,210,465.953,526.765
86,205,466.158,525.578
87,201,466.870,526.376
88,197,468.767,526.363
89,211,468.667,527.251
90,211,467.415,524.523
91,206,466.427,525.670
92,203,468.412,524.635
93,196,468.330,522.525
94,198,467.441,521.196
95,210,469.280,519.647
96,201,469.467,517.444
97,216,468.701,518.917
98,208,464.134,519.212
99,221,463.859,519.727
100,226,463.473,519.444
101,219,462.317,520.280
102,220,462.055,522.746
103,221,461.538,522.809
104,227,463.801,520.921
105,230,462.475,520.234
106,225,462.183,522.558
107,210,463.385,524.305
108,216,461.642,523.792
109,231,460.409,520.542
110,230,459.566,521.227
111,227,457.881,522.863
112,233,457.221,522.358
113,229,457.603,524.600
114,225,456.565,525.364
115,214,456.226,524.307
116,222,454.942,524.642
117,219,454.235,523.218
118,213,452.813,522.308
119,230,451.770,524.420
120,224,450.353,525.625
121,212,448.453,524.242
122,219,447.650,524.845
123,211,446.946,524.191
124,225,447.277,522.550
125,226,448.561,520.117
126,220,449.568,518.804
127,225,451.027,518.616
128,223,450.317,517.411
129,218,451.262,516.450
130,224,451.034,515.262
131,220,449.377,514.829
132,233,450.482,511.322
133,225,450.940,512.174
134,220,449.793,512.032
135,213,449.200,514.574
136,208,450.997,514.370
137,214,451.055,515.827
138,212,451.413,515.820
139,215,453.405,515.144
140,216,453.798,513.800
141,213,453.692,513.305
142,228,456.098,514.406
143,221,457.106,514.514
144,217,458.438,515.880
145,220,459.764,515.259
146,223,461.138,513.310
147,229,461.780,513.062
148,230,465.769,514.248
149,230,470.410,514.447
150,233,471.525,514.095
151,223,470.009,514.360
152,233,468.834,513.734
153,227,468.402,510.875
154,234,466.971,512.194
155,224,469.644,512.582
156,225,472.510,513.676
157,220,469.722,514.297
158,226,467.972,516.481
159,224,465.840,517.627
160,222,466.542,518.198
161,230,469.552,517.827
162,231,468.301,515.127
163,214,469.501,513.812
164,216,470.426,515.489
165,219,469.678,515.520
166,222,470.772,515.292
167,230,470.590,514.824
168,213,470.045,513.726
169,222,469.726,512.397
170,224,470.854,512.751
171,222,472.717,510.922
172,211,473.423,509.776
173,217,473.235,510.089
174,221,472.515,508.381
175,210,472.073,509.682
176,219,473.143,509.200
177,214,469.803,507.245
178,216,467.034,506.652
179,215,467.188,507.082
180,209,466.987,506.655
181,209,466.412,507.354
182,215,468.084,506.685
183,218,468.655,504.958
184,222,469.489,504.773
185,225,468.916,505.993
186,213,469.169,508.407
187,220,467.992,509.542
188,223,468.811,510.334
189,217,467.664,510.451
190,222,467.064,509.250
191,220,467.989,508.457
192,234,466.099,506.763
193,222,466.616,507.564
194,225,463.397,510.699
195,220,462.227,513.654
196,215,460.258,515.024
197,215,459.304,514.841
198,221,458.814,514.444
199,210,459.355,516.177
200,220,458.211,516.871
201,211,457.480,518.988
202,210,456.964,518.261
203,197,455.881,516.107
204,205,456.847,516.423
205,210,457.872,517.514
206,216,457.498,518.297
207,221,460.380,517.597
208,223,464.075,515.778
209,227,465.328,514.603
210,226,464.276,515.521
211,223,464.586,513.834
212,234,465.891,514.415
213,223,465.418,513.332
214,220,465.888,512.384
215,227,465.561,513.822
216,218,462.440,512.915
217,218,461.198,511.519
218,208,461.954,507.605
219,192,463.376,507.422
220,219,464.601,505.679
221,208,468.367,504.263
222,197,469.879,502.519
223,207,467.911,503.331
224,221,465.200,502.568
225,211,465.882,502.373
226,206,467.556,503.860
227,209,468.659,503.580
228,208,470.710,503.256
229,227,473.587,501.446
230,216,475.023,499.495
231,211,475.445,500.897
232,228,474.410,498.868
233,224,473.084,496.239
234,219,473.395,495.628
235,215,469.817,493.421
236,221,469.878,493.414
237,233,472.789,494.971
238,220,475.489,497.390
239,220,475.926,500.005
240,216,475.270,498.877
241,222,474.440,496.451
242,214,476.099,496.577
243,222,474.496,495.758
244,210,471.819,496.668
245,218,470.475,496.687
246,212,468.809,495.653
247,206,467.107,493.063
248,207,465.482,491.534
249,204,464.307,489.063
250,198,461.922,491.185
251,205,463.446,491.083
252,206,464.575,489.276
253,206,465.890,489.950
254,200,464.474,489.612
255,211,463.258,489.401
256,206,463.926,490.929
257,211,464.683,492.696
258,219,463.385,492.810
259,217,465.250,493.530
260,213,466.144,492.687
261,200,467.112,491.362
262,199,467.129,493.022
263,217,467.572,492.353
264,205,468.372,491.285
265,189,467.007,491.324
266,192,467.965,491.209
267,196,468.427,490.845
268,207,471.397,491.115
269,212,470.573,490.204
270,217,475.345,486.829
271,219,476.853,487.155
272,203,479.860,490.138
273,215,480.732,489.982
274,218,481.538,489.444
275,217,483.927,487.797
276,216,484.712,488.871
277,223,487.260,489.957
278,223,489.845,491.204
279,230,489.552,494.232
280,220,487.229,495.231
281,224,485.748,495.961
282,225,485.638,496.867
283,222,484.989,497.493
284,232,486.577,494.181
285,229,486.977,493.421
286,220,486.528,493.376
287,216,488.909,494.318
288,240,486.583,497.523
289,223,485.481,498.293
290,223,487.044,499.484
291,238,487.447,502.034
292,234,487.067,501.744
293,223,490.980,502.485
294,233,490.369,501.446
295,222,490.391,499.405
296,221,490.056,498.881
297,226,490.509,496.409
298,228,490.620,496.755
299,231,490.871,499.288
