 ,Area,XM,YM
1,201,483.288,488.079
2,216,481.540,490.707
3,215,480.808,494.832
4,196,482.018,495.634
5,202,482.642,495.157
6,203,482.572,497.351
7,203,481.307,498.873
8,200,480.296,497.187
9,203,481.017,496.648
10,203,481.077,496.810
11,206,482.850,496.516
12,204,481.900,496.993
13,205,481.644,496.734
14,203,480.707,497.509
15,210,481.390,498.746
16,213,482.588,500.550
17,203,485.311,502.054
18,205,488.461,499.976
19,202,491.158,498.001
20,212,489.244,499.314
21,203,488.801,500.681
22,210,488.935,503.065
23,205,488.991,504.154
24,203,487.032,505.418
25,210,483.412,506.432
26,206,484.677,507.750
27,202,485.444,506.231
28,212,487.060,506.791
29,214,488.466,506.045
30,207,488.398,505.262
31,205,486.085,505.371
32,204,486.719,504.958
33,208,489.392,506.059
34,209,489.007,507.027
35,205,488.517,506.611
36,204,487.553,507.424
37,203,486.475,508.184
38,209,486.865,508.753
39,207,485.620,507.004
40,209,487.269,506.353
41,203,486.842,507.982
42,209,484.722,506.733
43,206,484.288,505.912
44,209,485.670,505.910
45,204,484.068,507.035
46,205,483.400,506.968
47,207,482.563,509.032
48,202,481.396,507.067
49,209,481.972,504.727
50,205,482.240,503.838
51,196,484.948,502.212
52,204,486.861,502.530
53,216,486.504,503.942
54,195,485.649,506.480
55,199,486.196,508.225
56,208,485.903,509.789
57,205,486.883,512.232
58,206,486.316,514.336
59,212,487.156,512.151
60,199,487.093,512.238
61,205,485.984,514.276
62,201,488.178,515.473
63,209,488.981,514.526
64,214,487.851,512.709
65,203,488.157,511.373
66,197,486.245,512.192
67,205,486.192,513.053
68,207,484.169,513.556
69,202,482.600,514.867
70,207,483.593,514.417
71,209,485.773,515.337
72,202,486.282,517.194
73,200,487.695,518.466
74,206,489.840,518.848
75,209,490.316,523.410
76,204,491.266,524.118
77,212,491.128,525.520
78,202,490.918,525.528
79,202,492.456,525.364
80,204,491.866,525.583
81,208,487.901,524.162
82,198,485.771,522.028
83,215,483.425,524.773
84,208,481.580,524.862
85,237,482.471,524.879
86,256,481.494,524.697
87,255,481.403,524.886
88,258,482.374,527.252
89,246,480.588,528.192
90,264,479.505,528.548
91,271,481.242,529.989
92,273,482.247,526.693
93,276,484.389,526.414
94,271,485.835,528.246
95,284,485.147,528.793
96,280,484.005,525.450
97,275,482.383,524.680
98,281,482.248,523.423
99,278,482.778,525.237
100,267,482.639,528.078
101,250,483.958,529.692
102,236,485.215,529.504
103,225,484.779,531.898
104,220,484.600,534.695
105,215,484.051,535.234
106,224,483.445,534.301
107,213,481.896,533.505
108,223,483.355,532.400
109,226,482.549,532.945
110,230,483.580,530.218
111,214,484.994,530.540
112,213,483.944,531.696
113,204,483.811,534.426
114,210,483.827,537.420
115,202,482.845,538.534
116,221,483.157,537.724
117,204,482.251,535.516
118,200,483.795,537.349
119,195,485.863,538.511
120,208,483.467,537.053
121,199,481.885,535.493
122,196,481.657,534.658
123,204,480.908,535.228
124,206,477.613,536.406
125,203,475.128,536.164
126,202,478.056,534.452
127,218,478.382,537.124
128,204,479.515,538.759
129,204,481.450,541.789
130,200,480.893,544.344
131,194,479.770,543.102
132,202,478.147,543.397
133,205,477.766,544.033
134,201,478.280,543.910
135,199,477.350,543.749
136,193,475.958,542.532
137,201,477.292,543.167
138,207,480.212,542.415
139,197,480.532,542.727
140,193,480.475,541.605
141,204,480.929,543.643
142,204,481.264,541.408
143,201,481.314,542.423
144,214,480.679,541.821
145,200,479.082,541.676
146,215,478.858,542.075
147,207,476.697,543.151
148,211,475.850,544.417
149,214,475.325,544.485
150,221,474.955,545.225
151,231,470.369,545.568
152,209,469.128,547.356
153,212,469.183,549.900
154,197,468.932,551.151
155,193,468.987,550.977
156,212,468.605,549.680
157,214,466.201,548.936
158,193,464.421,550.199
159,206,461.845,549.881
160,202,459.050,551.757
161,208,456.839,552.182
162,204,458.376,553.119
163,200,460.529,552.225
164,205,460.223,549.487
165,205,461.390,549.816
166,216,462.521,551.745
167,215,462.824,550.939
168,198,461.780,548.587
169,208,461.221,547.908
170,208,462.509,547.735
171,195,462.269,547.946
172,204,461.207,546.733
173,209,460.361,547.201
174,202,459.913,547.322
175,201,460.173,547.503
176,219,461.946,550.757
177,209,461.173,551.492
178,201,460.986,551.093
179,225,463.085,553.344
180,202,461.773,554.939
181,202,462.568,557.213
182,199,461.769,556.457
183,213,460.271,553.452
184,232,458.717,557.159
185,251,458.447,555.563
186,247,459.144,555.243
187,214,459.852,553.657
188,233,461.016,552.905
189,248,460.513,554.172
190,242,461.107,555.862
191,243,461.649,557.433
192,232,460.633,560.029
193,256,458.771,560.384
194,274,457.325,561.135
195,280,458.497,562.365
196,284,459.243,561.159
197,291,457.496,561.564
198,286,457.521,561.515
199,280,457.594,560.139
200,277,457.079,558.569
201,288,458.138,559.545
202,278,462.592,560.750
203,279,463.457,561.429
204,282,464.392,561.245
205,275,466.201,560.690
206,279,464.544,557.466
207,278,461.989,556.653
208,263,459.647,555.854
209,278,460.316,555.917
210,277,460.076,556.403
211,288,457.321,556.886
212,283,457.840,558.483
213,283,459.622,558.777
214,277,459.509,559.797
215,284,459.915,559.244
