 ,Area,XM,YM
1,226,574.557,501.552
2,225,575.629,501.978
3,201,575.427,500.006
4,217,576.211,500.127
5,205,577.603,498.467
6,197,578.267,497.794
7,195,579.008,496.121
8,175,578.501,494.427
9,186,578.671,495.424
10,193,578.647,496.482
11,191,578.354,496.786
12,195,579.093,497.351
13,198,577.492,498.456
14,206,577.324,499.768
15,203,579.192,497.887
16,192,578.596,497.604
17,205,577.331,498.474
18,212,579.115,498.944
19,203,579.071,497.565
20,196,580.431,496.422
21,207,581.174,498.586
22,237,583.782,501.300
23,219,585.249,501.923
24,228,585.527,500.910
25,213,584.508,500.751
26,227,585.132,501.082
27,231,585.141,501.107
28,216,584.762,500.433
29,219,581.208,499.838
30,215,581.751,500.037
31,225,582.353,500.580
32,217,581.173,500.477
33,216,578.587,497.827
34,185,576.933,494.652
35,162,577.268,491.708
36,197,576.325,494.367
37,204,577.454,498.500
38,207,576.780,499.389
39,212,579.090,499.872
40,205,580.127,499.473
41,195,579.407,496.971
42,215,580.948,498.546
43,213,581.757,499.091
44,211,582.421,499.048
45,224,583.397,499.151
46,220,584.818,500.875
47,237,585.854,502.290
48,225,586.780,504.382
49,232,587.535,503.052
50,221,588.958,502.724
51,222,589.499,504.453
52,218,589.071,505.774
53,225,589.859,504.806
54,239,592.880,503.839
55,227,595.171,503.706
56,227,593.793,502.406
57,223,593.413,503.185
58,230,594.727,505.588
59,234,595.881,504.129
60,242,595.372,506.268
61,224,596.625,507.319
62,221,597.047,506.352
63,219,597.169,506.070
64,212,597.620,505.864
65,213,598.561,505.032
66,218,597.674,505.846
67,208,598.858,507.019
68,218,598.900,506.704
69,214,599.908,504.999
70,218,599.920,505.306
71,218,600.703,506.267
72,223,600.899,505.535
73,209,600.503,504.854
74,216,599.707,504.616
75,216,597.976,502.730
76,210,598.708,500.549
77,236,598.480,497.648
78,223,598.734,498.051
79,221,599.176,499.966
80,213,601.367,500.625
81,227,598.906,500.956
82,236,599.026,501.245
83,232,597.656,502.702
84,222,596.882,502.471
85,232,594.311,501.975
86,216,592.767,500.363
87,221,592.333,499.769
88,243,591.319,501.751
89,235,590.989,504.597
90,231,592.115,505.688
91,223,595.261,505.505
92,226,595.836,503.511
93,227,594.692,502.647
94,230,594.055,502.906
95,233,593.717,504.424
96,221,595.565,506.339
97,229,595.456,506.381
98,236,591.737,505.975
99,231,593.261,505.388
100,229,591.195,505.467
101,225,588.961,505.384
102,235,588.090,503.254
103,229,588.143,502.996
104,227,588.432,502.954
