 ,Area,XM,YM
1,300,478.099,503.030
2,330,476.884,504.369
3,326,474.240,504.657
4,308,474.050,503.192
5,327,473.861,503.090
6,327,472.591,503.885
7,309,471.151,502.942
8,316,472.887,503.113
9,304,475.173,505.270
10,317,475.370,506.338
11,317,477.482,507.675
12,331,475.905,508.403
13,300,475.659,510.472
14,286,477.462,510.660
15,287,478.726,511.676
16,288,480.303,511.903
17,289,482.555,513.886
18,288,483.170,516.905
19,284,482.265,516.712
20,287,481.452,516.237
21,300,481.453,515.169
22,298,478.495,514.869
23,286,478.756,514.418
24,295,476.976,511.636
25,324,475.022,508.645
26,356,477.789,507.117
27,327,478.300,506.328
28,298,479.314,507.421
29,317,482.173,509.993
30,325,485.061,507.923
31,316,484.547,506.611
32,312,483.122,505.426
33,321,483.135,506.606
34,315,481.581,505.794
35,315,480.880,508.371
36,338,481.131,509.501
37,322,481.148,511.134
38,317,480.647,512.169
39,325,479.940,511.772
40,317,478.927,511.509
41,344,478.631,512.216
42,358,477.027,512.079
43,361,477.146,513.495
44,366,475.970,512.917
45,367,474.732,514.444
46,355,474.087,514.275
47,361,473.091,511.711
48,361,474.078,508.788
49,349,473.803,510.329
50,326,473.342,512.264
51,334,473.002,510.367
52,329,470.078,509.739
53,322,470.298,509.710
54,310,471.613,511.395
55,310,474.670,510.755
56,304,474.829,508.861
57,310,475.112,509.213
58,313,474.861,507.257
59,313,475.561,506.013
60,306,477.683,504.402
61,304,476.482,504.169
62,308,474.905,501.985
63,301,474.222,502.429
64,312,474.130,502.609
65,303,473.838,503.347
66,297,474.820,503.262
67,302,475.902,501.573
68,312,477.108,502.246
69,317,476.644,505.028
70,314,476.181,506.870
71,310,477.202,506.108
72,323,477.082,505.768
73,323,475.446,507.662
74,312,474.953,510.979
75,315,475.856,510.717
76,317,475.739,510.123
77,339,478.033,510.194
78,351,478.232,511.704
79,349,477.699,514.891
80,353,475.143,515.145
81,362,473.567,514.340
82,358,474.370,511.527
83,363,476.181,507.795
84,383,476.722,506.367
85,385,477.072,504.919
86,367,477.475,503.076
87,348,480.786,501.910
88,344,482.663,501.949
89,355,480.754,503.546
90,357,481.288,501.254
91,361,480.670,500.525
92,349,480.575,499.999
93,325,480.492,501.556
94,335,480.320,500.866
95,357,483.345,496.673
96,361,482.715,493.912
97,351,483.383,494.004
98,347,484.406,493.760
99,341,482.398,494.186
100,332,481.346,493.733
101,332,483.349,493.755
102,341,483.789,497.173
103,328,483.906,498.796
104,316,484.734,499.900
105,312,484.374,501.160
106,312,484.351,498.828
107,309,484.879,497.483
108,298,484.201,499.021
109,308,482.453,498.908
110,300,481.496,499.787
111,278,484.210,498.927
112,281,485.154,499.251
113,285,485.556,497.331
114,279,486.814,494.924
115,284,487.719,495.103
116,287,486.167,493.893
117,281,487.511,490.810
118,280,487.524,491.056
119,282,486.534,491.070
120,296,488.648,489.869
121,286,488.661,490.345
122,286,487.121,489.213
123,282,486.922,489.039
124,286,487.037,489.767
125,284,486.832,489.639
126,284,484.435,489.495
127,292,482.403,490.844
128,282,482.536,491.679
129,286,482.370,492.500
130,298,483.613,492.927
131,306,484.410,495.158
132,299,485.415,497.887
133,297,485.129,496.273
134,295,485.742,493.940
135,289,485.241,495.298
136,300,483.759,494.006
137,294,485.472,496.089
138,277,486.227,497.118
139,273,484.932,498.275
140,276,485.839,499.142
141,275,486.805,502.020
142,274,481.938,502.315
143,275,478.568,501.438
144,267,480.004,500.906
145,266,480.424,500.660
146,266,478.194,502.001
147,268,477.986,503.871
148,270,478.443,505.852
149,271,480.182,506.389
150,272,483.292,507.272
151,275,485.200,507.651
152,283,486.236,510.176
153,282,485.862,511.746
154,293,486.685,508.965
155,281,487.079,506.853
156,287,489.251,507.324
157,281,489.201,507.413
158,278,489.002,506.477
159,287,488.096,505.409
160,280,486.499,502.886
161,279,488.412,503.450
162,292,491.639,504.134
163,286,493.936,501.380
164,284,496.063,502.282
165,294,496.235,503.773
166,286,495.738,505.461
167,278,496.539,504.289
168,289,496.979,504.081
169,291,497.644,503.584
170,302,497.837,501.522
171,293,494.421,503.137
172,291,494.645,505.798
173,299,495.903,506.548
174,285,496.036,508.028
175,287,498.328,505.661
176,286,497.335,501.813
177,276,494.275,500.662
178,275,494.845,501.035
179,274,497.300,502.798
180,280,499.348,502.367
181,278,501.790,503.446
182,278,502.318,502.346
183,280,504.413,503.329
184,284,502.683,502.503
185,279,503.153,499.623
186,282,504.549,499.552
187,292,503.650,502.377
188,287,501.370,505.480
189,286,498.362,504.675
190,284,497.455,504.805
191,284,496.453,504.442
192,290,498.296,503.974
193,287,499.160,505.682
194,291,499.180,503.851
195,282,500.605,504.752
196,275,502.235,505.252
197,282,502.864,505.070
198,280,501.536,506.219
199,277,500.434,506.972
200,279,497.640,508.720
201,274,496.740,508.126
202,281,498.124,508.074
203,279,497.867,506.779
204,279,496.298,507.816
205,276,494.288,509.039
206,273,492.427,508.961
207,280,491.454,509.782
208,291,491.976,510.410
209,282,493.766,512.127
210,277,494.572,509.682
211,276,494.417,509.886
212,275,493.922,510.276
213,276,495.489,510.630
214,287,494.616,511.736
215,283,495.551,508.607
216,292,495.637,509.431
217,287,497.058,511.956
218,298,496.530,513.945
219,282,495.747,514.409
220,285,496.504,512.258
221,282,497.985,511.602
222,281,496.751,509.753
223,293,496.776,510.223
224,278,494.925,512.375
225,282,495.119,510.596
226,290,495.529,507.920
227,287,495.675,506.849
228,295,495.865,506.897
229,292,496.298,507.971
