 ,Area,XM,YM
1,220,629.483,575.226
2,217,629.451,574.775
3,211,631.291,574.006
4,229,632.877,575.569
5,213,632.808,574.451
6,222,632.589,575.817
7,211,633.157,577.852
8,212,633.476,575.551
9,225,631.137,573.503
10,210,629.800,574.005
11,223,627.681,572.461
12,229,625.890,572.611
13,227,625.499,572.626
14,231,626.299,569.356
15,225,625.924,569.188
16,230,625.043,568.158
17,234,627.314,565.467
18,233,627.195,565.067
19,237,627.703,561.248
20,242,629.354,560.282
21,227,630.066,561.303
22,231,630.810,560.613
23,237,632.292,560.839
24,240,631.497,562.608
25,237,630.880,562.665
26,234,633.594,563.569
27,233,636.641,564.717
28,233,638.419,564.230
29,229,640.986,562.622
30,238,641.801,561.886
31,233,642.905,561.851
32,237,642.381,560.714
33,242,642.297,558.840
34,230,643.384,557.013
35,243,643.806,560.272
36,241,643.635,560.601
37,233,645.511,559.102
38,230,645.782,559.233
39,231,644.992,559.888
40,245,643.902,560.137
41,236,642.162,561.810
42,236,642.246,561.096
43,231,642.076,561.136
44,245,641.475,561.723
45,230,642.576,561.487
46,241,640.963,561.297
47,234,641.134,564.035
48,233,641.130,565.676
49,234,641.529,567.269
50,234,642.794,569.049
51,233,643.758,569.361
52,229,645.847,569.984
53,232,645.585,568.381
54,246,644.472,567.737
55,238,644.764,567.926
56,241,646.987,566.839
57,239,646.415,565.390
58,224,645.556,563.938
59,226,646.772,563.067
60,237,646.357,560.114
61,244,647.505,557.500
62,243,647.915,555.078
63,230,650.478,554.874
64,234,652.221,554.319
65,228,649.171,556.508
66,234,648.720,557.065
67,227,650.685,558.229
68,223,650.555,556.758
69,219,648.405,556.404
70,221,647.402,555.796
71,229,645.717,557.359
72,215,646.255,558.522
73,213,648.512,557.220
74,213,645.910,556.633
75,229,642.495,556.910
76,224,640.859,557.069
77,220,638.184,556.416
78,218,637.999,556.195
79,222,637.900,558.178
80,227,637.197,557.579
81,240,638.863,559.187
82,243,639.046,558.636
83,247,639.203,559.426
84,235,637.700,560.369
85,229,636.809,560.349
86,236,636.794,560.061
87,241,634.200,559.228
88,244,631.990,559.380
89,236,630.245,558.971
90,224,629.942,560.774
91,239,631.577,560.222
92,238,631.509,559.983
93,234,632.005,560.464
94,241,631.149,562.339
95,235,628.098,561.056
96,232,627.283,560.745
97,239,626.719,560.050
98,235,627.835,558.107
99,234,625.395,557.307
100,239,622.523,557.205
101,230,621.237,555.345
102,233,620.172,556.179
103,226,620.553,555.640
