 ,Area,XM,YM
1,229,576.849,639.983
2,217,576.542,639.523
3,193,577.667,638.515
4,191,578.088,640.087
5,204,577.662,642.308
6,182,577.828,641.643
7,178,576.805,642.232
8,164,576.491,641.842
9,195,573.452,641.514
10,194,572.472,641.043
11,198,570.965,640.269
12,211,569.059,638.306
13,200,566.306,639.672
14,189,567.068,640.590
15,192,567.138,639.602
16,207,567.526,639.921
17,211,567.755,638.857
18,218,568.302,640.335
19,236,568.907,639.992
20,227,567.529,638.954
21,240,565.208,637.068
22,251,566.062,636.807
23,263,566.255,635.374
24,267,566.635,633.696
25,270,568.091,635.265
26,267,569.044,637.667
27,270,568.076,637.228
28,271,569.854,637.875
29,271,568.902,640.804
30,279,566.403,641.652
31,268,567.265,643.745
32,265,567.244,642.849
33,273,566.174,640.719
34,258,567.759,640.980
35,254,568.135,638.659
36,268,569.192,638.593
37,274,569.228,638.802
38,284,568.439,639.724
39,280,570.174,640.333
40,280,569.953,640.273
41,280,569.315,639.773
42,266,570.293,640.637
43,272,572.108,640.869
44,262,571.969,641.191
45,263,570.698,641.734
46,264,571.074,646.202
47,266,570.044,645.641
48,274,570.486,641.919
49,271,575.652,639.201
50,257,575.261,640.840
51,261,575.842,641.882
52,257,576.127,642.094
53,278,574.591,641.351
54,272,572.682,640.546
55,262,572.810,641.154
56,262,573.213,641.546
57,265,573.107,641.150
58,245,571.912,640.450
59,262,571.514,638.826
60,258,570.622,639.274
61,255,569.539,638.800
62,273,568.832,639.455
63,270,569.441,639.093
64,276,567.413,641.292
65,273,566.979,640.999
66,271,563.819,639.571
67,274,564.389,638.268
68,269,566.120,636.542
69,267,567.183,635.275
70,268,568.034,635.188
71,280,568.921,637.620
72,278,568.806,638.530
73,283,569.396,641.973
74,270,569.562,641.888
75,268,569.201,640.258
76,271,569.299,640.626
77,287,570.394,640.378
78,275,570.039,638.243
79,277,568.560,638.046
80,282,569.917,636.180
81,279,571.196,634.596
82,283,573.040,635.318
83,276,572.413,633.917
84,277,570.044,631.556
85,289,567.890,630.491
86,300,566.279,632.307
87,296,565.021,631.630
88,313,565.271,633.519
89,302,565.191,632.518
90,287,565.139,631.059
91,295,565.740,631.437
92,285,567.158,631.083
93,290,568.142,629.232
94,285,571.606,628.461
95,297,572.429,629.180
96,300,570.871,629.906
97,298,571.160,628.669
98,304,571.631,627.743
99,302,569.384,629.798
100,299,567.459,628.773
101,298,565.874,626.807
102,292,565.802,626.471
103,295,566.125,626.811
104,296,565.984,630.156
105,297,566.684,632.574
106,287,567.288,634.885
107,278,568.221,632.916
108,274,569.421,631.875
109,283,568.402,633.642
110,282,569.324,636.648
111,276,570.201,638.179
112,279,568.990,637.697
113,275,568.359,637.652
114,289,566.228,635.835
115,282,566.133,633.607
116,290,567.052,635.965
117,294,568.911,636.804
118,317,565.854,636.379
119,293,563.566,635.228
120,298,564.634,636.236
121,312,566.072,635.309
122,301,565.764,631.531
123,293,567.117,628.862
124,300,566.700,629.747
125,299,569.181,630.633
126,314,568.083,630.254
127,318,565.907,628.528
128,329,565.667,628.789
129,328,564.571,629.735
130,340,563.415,629.743
131,342,564.120,630.850
132,327,563.614,631.469
133,350,562.229,632.582
134,335,560.239,631.442
135,324,561.321,632.220
136,321,561.468,631.460
137,344,560.235,626.264
138,363,559.644,623.272
139,368,556.103,622.780
140,354,553.904,624.794
141,347,554.080,623.516
142,363,553.927,622.470
143,360,552.360,624.936
144,365,550.631,626.802
145,394,550.660,628.167
146,400,551.355,630.197
147,415,551.106,630.207
148,414,550.958,629.108
149,411,549.918,628.887
150,384,550.656,629.494
151,382,553.168,631.320
152,413,552.682,632.820
153,427,553.968,632.300
154,421,555.878,632.343
155,455,556.601,630.656
156,479,556.261,629.144
157,486,556.052,629.246
158,477,556.547,628.802
159,476,557.193,625.372
160,501,558.004,623.795
161,488,556.767,623.361
162,465,556.799,623.038
163,447,556.599,624.317
164,422,557.371,626.902
165,404,557.150,626.635
166,383,559.391,626.933
167,380,559.789,628.605
168,384,559.331,627.681
169,376,558.640,627.571
170,401,559.241,629.346
171,435,557.453,630.497
172,441,556.666,631.889
173,476,554.309,629.292
174,491,552.852,629.695
175,468,553.498,627.079
176,448,553.542,626.282
177,440,552.153,627.720
178,452,552.704,628.756
179,433,552.164,630.461
180,406,551.622,631.567
181,407,551.445,630.321
182,393,553.289,630.418
183,372,553.828,629.978
184,336,554.035,632.116
185,330,554.003,633.390
186,334,555.444,632.238
187,327,556.819,630.350
188,329,558.640,630.657
189,342,560.049,631.590
190,356,561.614,633.140
191,360,563.861,632.305
192,355,564.408,631.209
193,344,565.454,631.654
194,345,565.489,632.229
195,334,564.447,629.762
196,322,566.360,630.680
197,316,567.329,632.715
198,328,568.368,632.434
199,337,568.571,632.921
200,357,568.149,635.033
201,343,569.415,635.106
202,329,568.989,635.928
203,333,567.619,636.025
204,346,567.108,634.714
205,340,565.971,634.514
206,343,566.583,633.186
207,344,565.540,632.356
208,324,563.388,632.857
209,321,562.041,633.077
210,335,562.301,634.267
211,340,561.464,636.196
212,346,559.528,635.954
213,356,558.858,634.283
214,335,560.089,632.146
215,338,557.471,633.304
216,344,559.212,635.099
217,339,560.813,634.778
218,327,562.835,635.251
219,324,562.205,636.847
220,312,564.261,637.572
221,298,565.818,636.640
222,297,564.667,637.855
223,290,565.307,636.156
224,293,565.766,634.584
225,302,565.481,632.011
226,314,565.659,632.972
227,310,564.680,631.757
228,319,565.486,631.667
229,314,565.716,633.134
230,314,565.741,634.447
