 ,Area,XM,YM
1,1172,207.082,284.994
2,1158,206.615,283.583
3,1125,206.697,284.645
4,1113,208.110,287.969
5,1103,207.588,286.590
6,1100,207.729,285.934
7,1120,207.523,287.074
8,1175,206.409,283.064
9,1175,206.244,281.000
10,1138,205.147,280.284
11,1147,203.465,278.781
12,1140,204.647,280.710
13,1113,205.456,282.794
14,1128,208.046,287.638
15,1160,208.959,290.281
16,1199,207.351,286.831
17,1206,208.733,282.497
18,1133,207.323,287.430
19,1134,207.368,289.149
20,1131,206.634,286.890
21,1120,206.636,287.002
22,1139,207.830,286.991
23,1215,208.255,287.524
24,1244,207.171,286.062
25,1224,206.210,286.125
26,1265,207.136,288.108
27,1280,208.532,290.038
28,1166,208.702,289.578
29,1147,208.397,291.412
30,1095,207.166,291.697
31,1093,207.683,291.660
32,1108,206.986,293.074
33,1090,206.051,295.348
34,1100,206.899,294.622
35,1092,206.472,295.159
36,1091,207.206,291.606
37,1127,207.887,288.967
38,1119,207.724,285.452
39,1109,207.291,284.805
40,1069,205.204,284.555
41,1055,203.152,283.633
42,1021,203.565,284.107
43,1017,204.262,288.086
44,1001,204.026,288.224
45,1050,205.569,287.471
46,1048,206.052,287.516
47,1052,205.283,286.415
48,1071,206.040,284.490
49,1050,206.061,288.801
50,1086,207.287,288.120
51,1100,207.788,290.993
52,1093,206.819,290.608
53,1101,207.674,291.875
54,1147,207.457,287.846
55,1140,207.273,288.600
56,1134,208.365,289.652
57,1108,207.806,289.249
58,1105,207.001,289.398
59,1050,204.782,288.603
60,992,203.567,291.914
61,1008,204.498,288.521
62,975,203.620,288.950
63,979,202.535,290.690
64,990,204.083,292.770
65,1017,204.030,293.083
66,1077,206.054,291.773
67,1107,207.464,290.678
68,1152,207.821,288.580
69,1123,207.154,284.674
70,1114,207.605,286.050
71,1069,206.345,288.425
72,1051,205.780,288.809
73,1026,204.578,287.672
74,997,203.817,288.134
75,1031,205.668,287.457
76,1049,206.346,287.460
77,1113,207.556,287.757
78,1103,207.303,285.770
79,1075,207.096,287.073
80,1109,208.096,290.168
81,1060,206.699,289.163
82,1049,205.673,287.816
83,1059,206.571,286.583
84,1093,207.757,287.594
85,1112,208.454,287.332
86,1071,207.012,288.381
87,1053,206.426,288.195
88,995,204.779,288.330
89,1003,204.714,288.819
90,972,203.782,288.963
91,991,203.585,289.087
92,972,202.934,293.197
93,950,201.527,295.286
94,895,199.856,294.436
95,925,201.669,292.565
96,971,203.643,289.396
97,1019,205.323,288.419
98,1067,206.136,288.220
99,1067,206.281,286.024
100,1073,206.857,290.466
101,1073,207.270,288.723
102,1113,208.071,291.255
