 ,Area,XM,YM
1,700,923.072,475.490
2,691,926.263,474.331
3,749,928.907,473.788
4,767,929.971,475.918
5,776,927.228,477.691
6,717,924.199,478.038
7,722,926.233,476.171
8,723,925.655,477.633
9,740,923.938,478.665
10,769,923.360,479.250
11,829,926.374,479.600
12,780,924.814,479.400
13,780,928.196,477.683
14,754,925.776,477.738
15,726,922.947,478.305
16,739,921.559,478.409
17,725,926.003,477.141
18,695,928.221,475.092
19,756,928.166,471.741
20,707,926.121,474.503
21,721,926.378,476.342
22,679,925.579,474.560
23,713,928.220,474.407
24,678,925.781,475.250
25,749,922.449,478.823
26,748,919.970,478.250
27,755,921.542,479.137
28,724,920.485,478.590
29,768,921.810,479.663
30,748,923.245,478.119
31,668,924.271,474.304
32,691,924.412,475.487
33,685,923.220,476.074
34,704,924.418,472.964
35,685,926.000,475.168
36,719,928.887,473.766
37,748,928.648,475.448
38,726,926.415,477.634
39,691,925.146,475.897
40,675,924.133,476.204
41,678,925.457,475.308
42,656,923.776,474.630
43,748,927.044,470.635
44,748,928.783,472.703
45,687,926.040,475.082
46,697,927.908,475.982
47,686,927.405,473.839
48,671,925.285,475.703
49,704,923.124,477.786
50,701,923.356,476.680
51,662,924.129,475.257
52,669,923.632,476.478
53,716,922.971,478.422
54,719,923.520,477.908
55,723,923.203,478.884
56,760,921.833,479.450
57,755,921.036,479.511
58,691,922.224,478.163
59,760,923.320,479.256
60,746,924.557,478.979
61,768,926.091,478.890
62,720,924.380,477.765
63,698,922.519,478.231
64,708,922.180,478.736
65,707,924.054,477.923
66,800,924.532,479.836
67,800,923.505,479.908
68,746,925.804,478.600
69,770,924.963,479.203
70,767,923.142,479.865
71,747,924.916,478.849
72,714,924.501,478.028
73,756,924.565,479.142
74,812,926.081,479.667
75,772,926.793,478.559
76,842,927.988,478.610
77,833,926.844,479.480
78,835,928.088,478.594
79,792,928.151,478.076
80,716,925.753,478.195
81,673,924.904,476.783
82,708,925.250,477.283
83,713,924.212,478.279
84,693,924.408,477.497
85,748,927.161,477.809
86,775,928.537,477.796
87,750,927.034,478.224
88,816,927.512,478.747
89,857,929.869,477.722
90,823,929.704,477.381
91,860,929.995,477.294
92,784,926.853,478.745
93,711,922.870,478.968
94,729,918.858,478.882
95,738,916.821,477.305
96,691,915.403,474.706
97,676,914.914,475.145
98,727,916.335,477.355
99,745,917.874,478.613
100,747,918.702,479.273
101,742,921.181,479.998
102,763,923.128,480.317
103,715,923.587,479.191
104,708,925.462,478.483
105,730,926.159,478.247
106,768,926.452,478.416
107,757,922.252,480.464
108,773,923.125,480.081
109,750,921.224,480.235
110,783,922.381,480.278
111,771,922.912,480.107
112,688,924.730,478.103
113,683,922.530,477.640
114,685,920.165,478.194
115,767,919.787,480.296
116,769,919.420,480.255
117,729,920.645,479.653
118,706,918.397,477.661
119,742,915.772,478.056
120,742,917.595,479.053
121,774,920.063,479.715
122,755,923.906,479.767
123,727,922.802,479.227
124,686,922.164,478.293
125,674,919.151,476.281
126,697,920.590,478.658
127,788,916.609,478.806
128,776,917.126,478.780
129,758,917.294,479.286
130,769,917.185,478.972
131,700,918.896,477.679
132,704,920.075,478.719
133,693,920.421,478.727
134,672,922.241,477.614
135,656,924.743,475.215
136,649,926.438,473.993
137,639,924.523,474.947
138,675,921.947,477.464
139,720,924.400,478.682
140,708,925.567,478.322
141,752,925.722,479.034
142,694,922.806,478.781
143,633,923.549,476.489
144,664,925.008,477.124
145,729,927.389,478.156
146,728,926.147,478.745
147,790,925.897,479.609
148,770,924.835,479.734
149,799,925.457,479.827
150,759,927.161,478.516
151,694,925.663,477.945
152,708,924.002,478.281
153,717,923.941,479.212
154,769,925.509,479.474
155,786,925.108,479.943
156,795,925.382,479.888
157,764,925.779,479.363
158,757,927.895,478.133
159,756,927.546,478.451
160,700,926.108,477.989
161,730,925.639,478.945
162,675,923.057,478.370
163,653,920.888,475.486
164,663,921.050,476.196
165,666,923.006,477.982
166,782,926.239,479.328
167,835,929.945,477.604
168,897,929.019,478.942
169,756,928.112,478.312
170,661,925.210,477.046
171,662,924.078,477.931
172,683,926.346,477.188
173,676,928.084,476.066
174,729,929.994,476.374
175,740,931.571,473.678
176,786,932.261,472.905
177,753,930.734,475.400
178,724,930.422,475.326
179,728,930.594,474.907
180,781,931.175,473.841
181,727,930.631,475.134
182,672,928.578,472.995
183,699,928.522,471.670
184,694,929.802,472.724
185,711,930.838,473.928
186,682,927.013,475.371
187,652,925.172,477.262
188,724,925.363,479.294
189,737,924.890,479.409
190,796,924.610,480.216
191,769,926.552,479.327
192,794,926.506,479.565
193,838,926.192,480.017
194,804,926.157,479.682
195,745,926.917,478.660
196,794,926.325,479.521
197,765,925.383,479.683
198,748,924.918,479.968
199,766,925.520,479.774
200,778,926.107,479.515
201,761,927.132,478.851
202,740,924.610,479.751
203,733,924.418,479.890
204,682,925.327,477.969
205,638,924.742,475.835
206,662,925.284,476.674
207,699,927.251,477.806
208,800,928.098,478.727
209,779,928.621,478.351
210,778,927.056,479.160
211,771,925.341,480.020
212,774,925.162,480.191
213,769,924.958,480.220
214,741,923.891,480.221
215,671,924.258,477.871
216,648,927.898,475.247
217,664,927.638,475.838
218,735,928.859,476.813
219,731,925.236,479.542
220,692,925.686,478.198
221,701,927.996,477.265
222,661,924.750,477.706
223,620,923.467,474.726
224,669,922.140,478.535
225,718,919.305,479.499
226,740,921.415,480.419
227,710,923.498,480.121
228,651,922.995,477.773
229,650,926.623,476.572
230,671,925.188,478.522
231,642,922.337,478.115
232,637,921.302,478.047
233,627,921.127,476.035
234,610,922.902,476.410
235,645,924.333,475.463
236,619,924.107,476.716
237,656,925.097,477.944
238,677,923.800,479.460
239,650,925.497,478.219
240,648,926.239,475.046
241,649,923.749,471.520
242,654,926.850,476.153
243,727,929.593,471.210
244,713,929.712,472.166
245,680,928.271,475.006
246,720,927.181,478.939
247,735,928.810,477.934
248,734,926.407,479.394
249,744,924.617,480.689
250,732,926.336,479.834
251,795,928.276,479.419
252,801,928.460,479.415
253,762,928.819,478.732
254,777,930.334,476.580
255,757,928.406,479.026
256,778,927.633,479.918
257,798,926.493,480.639
258,747,926.378,479.702
259,673,927.465,478.029
260,683,925.264,479.579
261,709,924.173,480.498
262,728,923.549,480.977
263,722,923.032,480.736
264,667,924.286,479.586
265,672,924.454,479.339
266,654,923.946,478.988
267,680,923.307,479.841
268,713,923.754,480.304
269,699,922.971,480.063
270,688,924.406,479.119
271,666,921.327,479.803
272,701,921.626,480.551
273,761,918.932,481.014
274,742,917.219,479.910
275,733,917.500,479.504
276,725,920.423,480.342
277,717,922.327,480.511
278,765,922.552,481.486
279,733,924.431,480.668
280,729,923.807,480.868
281,718,921.482,480.782
282,722,919.603,480.557
283,691,921.430,479.915
284,667,921.361,479.519
285,709,922.238,480.220
286,747,924.977,480.527
287,767,922.875,480.972
288,762,922.340,481.403
289,698,923.998,479.994
290,696,923.306,480.126
291,736,926.450,479.677
292,694,924.538,479.913
293,690,924.774,478.480
294,657,926.316,477.548
295,696,925.022,479.640
296,674,921.022,479.902
297,707,920.570,480.765
298,678,921.258,480.387
299,669,921.303,480.076
300,631,920.519,477.976
301,637,920.031,476.488
302,626,918.666,475.703
303,666,918.413,477.289
304,699,918.787,480.080
305,656,919.361,478.269
306,740,917.298,480.300
307,766,916.771,480.365
308,720,919.872,481.055
309,670,919.280,479.228
310,686,918.789,480.288
311,697,917.967,479.464
312,740,917.242,480.274
313,704,918.049,480.102
314,655,920.414,478.910
315,662,919.562,479.724
316,666,919.656,479.764
317,650,923.485,478.822
318,673,928.024,478.007
319,734,930.663,477.149
320,673,928.044,473.431
321,666,925.224,470.063
322,675,923.417,470.208
323,709,924.436,468.158
324,705,927.888,469.935
325,653,926.240,473.335
326,675,928.726,477.144
327,726,930.161,477.768
328,724,929.869,477.907
329,793,929.733,479.100
330,782,926.460,480.510
331,766,927.793,480.024
332,707,928.362,478.752
333,674,925.436,479.574
334,634,926.102,477.240
335,636,926.507,477.468
336,658,927.980,477.435
337,721,929.614,478.105
338,724,930.407,477.022
339,784,930.492,477.848
340,721,930.264,477.765
341,723,930.595,476.613
342,760,929.626,478.808
343,699,928.394,478.800
344,729,927.455,480.148
345,680,927.810,478.231
