 ,Area,XM,YM
1,755,1060.735,185.411
2,755,1060.735,185.411
3,706,1060.750,183.566
4,719,1061.329,184.464
5,802,1061.183,186.720
6,754,1061.224,185.791
7,732,1061.598,184.681
8,708,1063.464,183.838
9,690,1062.419,182.054
10,695,1061.117,179.474
11,666,1063.209,175.021
12,699,1062.019,172.941
13,670,1061.841,174.590
14,717,1060.885,172.500
15,690,1061.114,174.621
16,668,1059.239,174.940
17,730,1059.003,172.891
18,697,1058.444,175.003
19,673,1056.466,176.717
20,678,1056.881,177.556
21,657,1060.874,177.323
22,641,1060.299,178.366
23,663,1062.377,175.750
24,715,1060.898,171.679
25,727,1059.885,175.145
26,654,1063.030,177.251
27,699,1061.204,175.529
28,764,1056.721,171.868
29,820,1056.537,169.878
30,690,1058.955,174.896
31,751,1058.638,171.884
32,732,1057.968,172.535
33,737,1058.829,171.422
34,777,1059.050,170.886
35,795,1055.888,171.022
36,803,1058.419,169.143
37,793,1057.659,168.726
38,800,1057.279,169.878
39,756,1057.837,171.282
40,652,1059.654,176.078
41,630,1059.795,177.976
42,678,1060.197,179.930
43,693,1061.779,181.696
44,651,1060.632,181.520
45,654,1059.128,180.908
46,667,1057.783,178.267
47,765,1054.030,175.927
48,815,1052.680,174.703
49,839,1052.406,175.894
50,829,1054.336,171.663
51,764,1056.042,172.230
52,743,1056.034,172.809
53,730,1057.039,172.253
54,710,1061.092,171.072
55,672,1059.821,173.299
56,659,1060.976,174.498
57,658,1061.696,176.410
58,722,1059.621,172.746
59,716,1059.244,172.686
60,716,1062.033,171.380
61,744,1060.270,170.855
62,720,1057.855,174.760
63,658,1058.632,176.711
64,700,1061.917,181.692
65,688,1063.184,182.091
66,744,1062.369,184.611
67,725,1062.877,184.025
68,731,1060.375,184.595
69,786,1057.329,183.823
70,788,1056.225,182.915
71,823,1060.230,185.964
72,857,1057.114,184.982
73,867,1055.500,182.840
74,859,1055.415,183.502
75,865,1054.998,183.119
76,864,1054.040,180.377
77,804,1053.486,178.860
78,815,1054.839,180.489
79,836,1056.148,183.721
80,750,1057.469,183.454
81,765,1061.458,185.389
82,811,1062.215,185.987
83,812,1062.372,185.756
84,760,1062.243,185.257
85,756,1060.824,184.573
86,787,1062.377,185.905
87,802,1062.758,186.072
88,849,1060.161,186.149
89,859,1057.664,185.550
90,878,1059.047,185.589
91,850,1057.633,185.271
92,834,1058.815,185.323
93,785,1058.600,184.884
94,737,1059.783,184.072
95,686,1062.385,182.356
96,667,1059.526,180.563
97,761,1058.721,183.987
98,787,1058.275,184.341
99,840,1055.480,182.531
100,876,1055.614,183.691
