 ,Area,XM,YM
1,361,412.951,682.038
2,382,413.099,680.802
3,336,412.173,680.912
4,330,412.016,681.416
5,334,412.450,680.322
6,360,412.996,680.123
7,369,412.650,680.176
8,414,412.396,678.139
9,399,412.678,678.354
10,400,412.889,679.538
11,364,412.654,678.617
12,391,413.266,679.640
13,345,412.398,681.330
14,315,411.500,681.827
15,334,412.028,681.914
16,351,412.555,682.872
17,349,412.469,681.155
18,353,412.571,679.914
19,382,412.704,679.142
20,414,412.689,678.413
21,350,412.562,678.510
22,331,412.363,680.562
23,352,412.521,680.378
24,366,412.776,678.900
25,370,412.337,678.013
26,403,412.865,679.182
27,349,412.461,679.354
28,331,412.194,680.610
29,342,412.292,681.342
30,346,412.300,680.581
31,335,412.143,680.683
32,332,412.139,680.525
33,313,411.296,682.534
34,309,410.454,682.234
35,305,410.249,683.352
36,306,410.589,682.621
37,320,411.978,681.080
38,337,412.495,678.626
39,345,412.755,678.614
40,382,413.344,679.376
41,371,413.197,679.252
42,440,413.955,679.119
43,415,413.462,677.156
44,409,412.409,676.150
45,411,413.362,678.992
46,423,412.900,678.151
47,425,412.774,677.124
48,445,412.483,676.380
49,446,412.474,676.519
50,368,412.920,677.856
51,363,412.193,677.156
52,362,412.562,676.676
53,347,412.749,678.805
54,358,413.184,678.914
55,389,413.503,679.482
56,364,413.074,678.323
57,359,412.997,678.199
58,344,412.869,680.236
59,307,411.378,679.750
60,311,411.373,680.430
61,333,412.545,679.231
62,355,412.848,679.419
63,349,412.886,679.862
64,316,411.862,678.960
65,312,411.233,680.928
66,303,410.934,681.242
67,316,411.886,679.089
68,324,412.298,679.751
69,317,411.695,681.895
70,304,411.554,680.226
71,330,412.309,677.708
72,363,412.058,675.975
73,427,413.263,677.320
74,403,413.234,677.924
75,348,413.287,678.205
76,325,412.659,678.204
77,337,413.104,679.397
78,312,412.313,679.931
79,314,411.895,681.106
80,326,411.558,681.201
81,297,410.756,681.921
82,308,410.920,682.098
83,300,410.731,681.801
84,318,412.571,683.038
85,310,412.272,681.828
86,305,410.120,682.877
87,312,412.098,682.000
88,319,412.470,678.576
89,314,412.160,678.030
90,298,411.229,680.284
91,303,410.781,681.630
92,325,412.587,679.666
93,311,412.301,678.773
94,303,410.624,682.176
95,301,411.541,681.393
96,321,413.077,680.226
97,334,412.992,678.718
98,353,412.874,677.307
99,337,412.914,678.599
100,306,411.791,679.753
101,310,412.442,680.968
102,310,412.007,679.316
103,304,411.522,679.769
104,313,412.065,681.305
105,314,411.314,683.590
106,316,412.045,682.212
107,326,412.540,680.838
108,297,411.228,681.096
109,301,411.446,680.753
110,318,412.006,681.556
111,314,411.947,682.021
112,331,412.752,682.400
113,370,413.404,679.762
114,346,413.155,680.387
115,344,413.189,681.104
116,341,412.887,677.755
117,329,412.651,678.202
118,320,412.499,677.591
119,322,412.688,678.888
120,327,412.362,677.210
121,351,412.977,678.548
122,377,412.815,677.219
123,413,412.798,676.988
124,364,413.260,678.760
125,316,412.199,680.389
126,323,413.150,679.532
127,322,412.224,680.501
128,299,411.034,681.406
129,296,411.266,681.663
130,306,412.133,680.495
131,323,412.515,679.520
132,331,412.963,679.844
133,310,412.291,679.305
134,296,411.579,680.398
135,315,412.626,679.943
136,298,411.283,681.994
137,286,410.070,682.718
138,305,411.816,681.921
139,326,412.801,679.784
140,331,412.894,680.154
141,356,413.573,679.878
142,324,412.473,681.359
143,318,412.201,682.160
144,316,412.556,681.745
145,337,412.859,678.829
146,340,413.554,680.444
147,329,413.324,679.854
148,338,413.509,679.309
149,332,412.855,679.212
150,349,413.163,679.556
151,326,412.959,680.433
152,307,412.236,680.761
153,301,411.762,681.119
154,344,413.198,679.448
155,329,412.988,679.889
156,330,413.672,680.835
157,316,412.469,680.088
158,312,412.042,681.891
159,297,411.324,681.968
160,293,410.962,682.441
161,296,410.883,680.739
162,308,411.540,681.470
163,301,411.188,682.049
164,297,410.947,681.814
165,317,411.724,678.312
166,369,412.290,676.667
167,416,412.834,677.114
168,372,413.163,679.230
169,371,412.732,679.735
170,370,412.464,677.530
171,401,412.084,676.329
172,352,412.383,678.316
173,364,412.790,678.059
174,369,413.141,677.661
175,351,413.077,678.524
176,329,411.943,680.730
177,316,412.054,679.092
178,352,412.666,679.883
179,365,413.066,679.498
180,353,412.759,679.867
181,345,412.496,679.231
182,335,412.730,680.701
183,352,412.862,678.852
184,348,412.780,677.576
185,324,412.217,678.014
186,309,411.677,678.667
187,322,412.461,679.299
188,337,413.074,679.961
189,319,412.375,677.946
190,322,412.746,680.549
191,313,411.308,684.202
192,300,410.666,683.083
193,296,410.813,681.129
194,296,411.389,682.329
195,298,411.286,681.228
196,299,411.352,679.949
197,339,412.925,678.363
198,334,412.493,677.243
199,321,412.170,678.000
200,299,411.605,678.430
201,311,412.108,680.698
202,319,412.699,681.937
203,311,412.292,680.423
204,297,411.436,681.053
205,288,410.873,680.315
206,288,410.883,679.840
207,300,411.819,679.643
208,286,410.515,681.430
209,284,409.827,682.414
210,306,411.697,680.300
211,286,410.666,680.641
212,291,411.153,680.140
213,299,411.480,679.852
214,288,410.559,680.625
215,281,409.434,681.954
216,291,409.269,682.320
217,292,410.856,681.712
218,303,411.472,682.284
219,301,411.488,681.849
220,306,412.048,681.968
221,288,410.327,681.472
222,289,410.322,680.526
223,287,409.701,681.411
224,314,410.825,681.568
225,314,412.174,680.436
226,316,411.975,680.823
227,303,411.413,681.428
228,297,411.390,682.382
229,295,411.636,682.386
230,296,411.911,681.949
231,298,411.468,682.812
232,303,411.393,680.536
233,294,411.177,680.071
234,296,412.160,679.137
235,322,412.099,678.311
236,344,411.695,676.663
237,353,411.365,675.777
238,327,412.413,677.828
239,352,412.956,678.619
240,316,411.530,679.884
241,292,410.347,683.316
242,313,412.176,681.239
243,331,412.580,677.807
244,349,411.555,677.471
245,381,410.499,674.890
246,408,410.382,674.691
247,355,411.667,676.358
248,347,411.616,676.506
249,312,411.628,678.259
250,301,412.214,679.210
251,316,412.455,679.998
252,291,411.550,681.110
253,290,410.522,682.555
254,287,410.335,681.738
255,301,412.033,681.689
256,297,411.347,681.728
257,284,410.368,682.647
258,294,411.309,681.675
259,296,411.761,680.702
260,316,412.091,679.511
261,319,412.101,679.536
262,305,411.545,678.279
263,309,412.384,679.607
264,336,412.416,679.091
265,316,411.030,676.959
266,303,412.131,679.826
267,295,411.712,679.330
268,289,411.420,679.162
269,323,411.479,676.572
270,311,411.083,676.420
271,289,411.200,679.396
272,281,410.585,680.614
273,277,410.832,680.732
274,294,411.633,680.017
275,332,412.191,677.982
276,366,411.562,676.820
277,307,411.532,677.346
278,336,411.692,678.066
279,325,412.447,678.111
280,347,411.103,675.981
281,368,411.215,675.875
282,321,410.683,675.138
283,320,411.009,676.220
284,292,411.931,679.797
285,286,410.768,679.435
286,305,412.092,678.603
287,321,412.814,679.967
288,330,413.262,680.271
289,341,412.250,678.363
290,329,411.096,676.384
291,339,412.684,677.331
292,317,412.837,679.663
293,309,411.903,679.172
294,303,412.359,679.920
295,295,411.977,681.952
296,288,410.524,682.487
297,280,409.490,683.109
298,278,409.635,682.878
299,281,409.699,683.452
300,276,408.899,683.326
301,294,411.464,680.961
302,282,411.261,681.214
303,294,412.083,681.872
304,280,410.569,681.997
305,282,410.240,681.097
306,294,411.762,678.461
307,282,411.082,678.589
308,284,409.780,680.978
309,273,408.620,681.974
310,276,409.215,681.197
311,272,408.915,682.427
312,295,410.390,680.204
313,297,411.618,679.542
314,278,410.148,681.206
315,278,410.171,681.311
316,280,410.357,681.016
317,290,411.724,680.224
318,277,410.266,680.956
319,281,410.690,679.612
320,309,411.641,677.188
321,299,411.920,678.984
322,322,412.557,679.391
323,311,411.790,678.681
324,281,410.870,680.749
325,280,409.124,682.022
326,288,410.525,680.783
327,291,411.706,681.180
328,280,410.192,681.291
329,281,409.765,682.483
330,292,411.479,681.322
331,280,409.721,681.912
332,280,409.778,681.361
333,303,409.096,683.011
334,279,405.910,683.172
335,278,408.545,683.832
336,279,407.999,682.447
337,286,408.460,682.368
338,279,409.025,683.145
339,279,408.090,683.198
340,280,406.771,683.549
341,277,408.908,681.802
342,291,410.867,680.857
343,307,411.031,678.215
344,320,412.249,677.767
345,333,411.880,677.832
346,339,411.906,677.587
347,336,412.206,678.312
348,317,412.543,680.123
349,302,411.448,679.346
350,286,410.782,681.542
351,288,410.640,678.807
352,293,410.648,680.317
353,294,410.063,681.020
354,312,411.448,677.824
355,298,411.949,678.733
356,313,411.866,677.877
357,286,411.583,680.283
358,281,411.087,679.584
359,289,411.393,680.065
360,299,411.602,680.278
361,307,412.160,681.116
362,286,411.141,681.072
363,302,412.022,679.206
364,287,411.692,680.020
365,317,411.948,679.630
366,314,412.112,678.110
367,287,410.527,679.436
368,275,407.781,682.585
369,277,408.103,682.111
370,278,409.945,682.860
371,275,409.115,681.671
372,283,410.759,682.207
373,276,407.613,682.719
374,270,409.145,680.987
375,278,409.817,679.731
376,286,410.220,680.776
377,275,409.527,682.078
378,292,411.633,682.485
379,294,411.165,681.967
380,290,410.486,682.022
381,278,410.857,679.873
382,278,410.860,679.300
383,289,411.760,678.685
384,308,412.323,678.730
385,338,412.664,678.319
386,305,412.721,681.875
387,295,412.511,681.544
388,281,410.509,682.423
389,281,408.773,681.620
390,278,407.547,683.194
391,287,409.237,683.325
392,286,411.312,679.544
393,331,411.782,676.403
394,383,411.779,675.657
395,371,410.841,674.389
396,325,412.735,678.421
397,300,412.576,680.097
398,287,412.241,680.492
399,312,412.476,678.075
400,310,412.481,679.009
401,304,412.214,679.884
402,323,413.046,679.924
403,336,413.029,678.671
404,364,412.797,676.751
405,342,413.016,678.460
406,323,412.090,677.412
407,294,411.740,677.460
408,281,411.673,680.439
409,275,411.303,680.068
410,303,412.606,679.575
411,294,412.295,680.362
412,309,412.279,676.932
413,326,412.156,676.429
414,303,411.460,675.953
415,320,412.017,675.824
416,344,412.181,675.521
417,345,412.129,676.110
418,338,412.705,677.544
419,324,412.297,677.663
420,297,412.023,680.186
