 ,Area,XM,YM
1,833,724.023,214.555
2,938,726.516,214.987
3,947,724.884,214.633
4,997,724.375,216.982
5,1050,724.870,215.962
6,1066,728.452,214.664
7,951,730.970,210.241
8,831,729.459,208.524
9,892,728.941,209.436
10,821,732.272,202.937
11,818,726.261,205.275
12,819,727.100,209.407
13,846,726.540,211.906
14,820,722.303,214.351
15,821,721.219,215.558
16,926,722.130,216.582
17,963,724.134,217.078
18,961,722.106,217.345
19,963,723.571,217.366
20,997,727.499,215.756
21,1001,724.263,215.974
22,1029,724.256,216.967
23,1032,726.102,217.167
24,1054,725.022,215.439
25,1014,725.651,217.372
26,1014,726.657,216.369
27,1066,725.846,216.104
28,1090,724.968,214.719
29,1057,727.279,215.417
30,1017,725.798,216.524
31,959,721.019,216.804
32,899,724.272,215.519
33,892,729.304,212.332
34,913,730.762,212.049
35,883,728.317,213.104
36,863,726.407,212.729
37,992,728.951,210.180
38,988,732.087,208.715
39,913,733.739,203.957
40,843,733.461,201.824
41,751,731.941,199.303
42,767,730.440,199.895
43,818,731.383,203.647
44,825,730.929,204.285
45,852,727.544,210.932
46,822,726.970,209.982
47,799,724.210,208.041
48,756,724.651,205.243
49,722,720.952,203.563
50,732,717.624,207.548
51,742,717.823,210.247
52,771,718.458,214.966
53,864,716.705,218.562
54,928,721.030,218.132
55,967,725.003,216.258
56,961,725.509,214.740
57,901,727.298,210.687
58,867,727.087,210.822
59,919,728.650,212.546
60,908,729.351,212.796
61,871,727.342,212.920
62,900,730.083,210.901
63,860,729.568,209.710
64,849,728.415,211.056
65,831,729.548,207.984
66,837,725.997,209.862
67,790,721.928,212.061
68,771,718.972,214.764
69,873,722.344,217.052
70,882,721.365,217.464
71,925,718.794,218.845
72,842,719.810,217.484
73,856,723.229,215.215
74,920,724.835,215.853
75,857,721.299,215.511
76,842,721.974,215.834
77,897,724.530,215.408
78,940,725.658,215.674
79,960,724.194,216.527
80,961,722.963,216.678
81,948,722.876,214.916
82,836,718.709,214.941
83,828,720.990,215.563
84,872,724.575,214.309
85,865,728.185,211.916
86,847,727.089,211.970
87,824,726.189,211.873
88,855,728.344,211.927
89,966,729.252,214.143
90,1003,729.712,211.981
91,998,728.477,214.889
92,942,730.216,210.934
93,1020,734.226,209.270
94,1051,733.182,209.635
95,1054,729.841,213.366
96,1080,728.583,216.009
97,1051,723.947,217.438
98,1117,722.096,218.509
99,1143,719.296,220.386
100,1125,719.592,219.704
101,1146,719.992,220.192
102,1128,718.643,220.734
103,1089,718.059,220.857
104,1127,718.237,220.749
105,1228,716.659,219.324
106,1226,717.827,216.833
107,1292,719.004,217.490
108,1196,721.254,219.714
109,1192,720.614,219.481
110,1220,719.847,219.336
111,1186,718.921,219.679
112,1261,720.449,218.199
113,1242,721.580,216.198
114,1189,722.267,216.218
115,1132,726.540,214.357
116,1156,725.128,215.014
117,1195,723.663,218.495
118,1093,722.602,219.827
119,996,722.507,218.229
120,1066,722.335,218.467
121,942,721.934,218.013
122,928,720.701,218.408
123,1038,722.355,219.159
124,1082,721.666,219.950
125,984,718.720,220.160
126,948,721.605,218.349
127,926,722.603,216.732
128,935,725.019,214.259
129,933,724.987,215.670
130,956,725.084,216.897
131,973,725.295,217.435
132,958,724.434,217.500
133,1015,726.746,216.784
134,1036,722.279,217.530
135,1093,722.376,217.465
136,1058,725.639,215.875
137,1060,725.222,216.191
138,1045,725.101,217.179
139,1219,725.280,217.160
140,1280,723.328,217.670
141,1280,724.811,217.811
142,1270,724.531,217.186
143,1196,722.039,218.246
144,1107,720.680,219.063
145,1078,721.224,220.510
146,1046,722.047,220.251
147,999,722.707,217.864
148,965,722.246,217.439
149,1029,722.237,218.509
150,1024,718.925,220.319
151,1104,716.482,221.104
152,1133,715.298,220.555
153,1268,719.583,218.627
154,1274,720.706,218.049
155,1301,721.734,218.048
156,1240,722.478,216.042
157,1241,721.619,218.684
158,1210,724.242,218.705
159,1158,724.318,218.867
160,1179,723.674,219.362
161,1156,724.099,218.897
162,1121,726.555,216.918
163,1072,724.176,219.154
164,1030,725.243,217.986
165,1009,725.628,215.779
166,975,723.688,218.202
167,922,722.158,218.617
168,893,722.073,218.292
169,864,721.691,218.392
170,869,720.970,217.643
171,923,720.961,219.871
172,847,721.177,217.017
173,851,726.248,214.531
174,902,726.632,216.262
175,908,727.496,215.448
176,954,728.986,215.597
177,967,729.634,215.815
178,927,726.717,216.711
179,970,725.392,218.475
180,937,726.038,217.231
181,850,725.957,214.150
182,840,726.831,214.381
183,816,727.473,211.826
184,842,730.454,210.103
185,896,730.407,211.973
186,940,730.630,212.517
187,948,729.011,213.824
188,929,728.643,215.217
189,886,728.637,213.000
190,871,729.991,212.733
191,928,729.130,213.957
192,880,726.646,215.738
193,828,725.533,214.552
194,888,725.644,216.783
195,849,728.357,211.923
196,837,731.434,208.945
197,917,732.233,210.386
198,953,732.421,210.544
199,850,727.904,211.075
200,823,726.189,209.529
201,874,728.023,212.346
202,939,733.920,208.432
203,988,733.755,210.295
204,1071,732.772,212.788
205,1084,730.602,212.382
206,1026,730.446,213.608
207,950,728.182,215.143
208,965,728.836,216.254
209,1029,728.359,215.990
210,992,727.568,214.335
211,921,728.996,213.175
212,854,729.001,210.463
213,823,729.582,208.536
214,866,728.240,213.240
